,EN,FR,DE,ES,IT,PO,SC,JP,TC,RU
STRID_8SEC,8 Seconds,8 Secondes,8 Sek,8 Segundos,8 Secondi,8 Segundos,8 秒,8 秒,8 秒,8 сек.
STRID_10SEC,10 Seconds,10 Secondes,10 Sek,10 Segundos,10 Secondi,10 Segundos,10 秒,10 秒,10 秒,10 сек.
STRID_PROTECT,Protect,Protection,Schutz,Proteger,Protezione,Proteger,保护,保護,保護,Защита
STRID_ProtectOne,Protect One,Protéger Une,Eins Schütz.,Proteger Una,Proteggi Una,Protect One,保护单张,保護のリーフレット,保護單張,Защитить одну
STRID_ProtectAll,Protect All,Protége Ttes,Alle Schütz.,Prot. Todas,Prot. Tutte,Protect All,保护全部,保護のすべての,保護所有,Защитить все
STRID_Lock,Lock,Vérouillé,Verriegelung,Bloquear,Blocca,Lock,加锁,ロック,保護,Блокировка
STRID_LockOne,Lock Current,Verouillez le courant,Eins Schütz.,Trabe el actual,Blocchi la corrente,Lock Current,加锁当前,現在を締めなさい,保護目前檔案,Заблокировать  фотографию
STRID_LockAll,Lock All,Verouiller Tout,Alle Schütz.,Blog. Todo,Blocca tutto,Lock All,全部加锁,全コマロック,保護所有檔案,Заблок.все изображ
STRID_LockSelected,Lock Selected,Serrure Choisie,Wählte Schütz.,Blog. Seleccionado,Blocca selez.,Lock Selected,锁定选择,ロックは選んだ,保護選擇,Заблокировать  
STRID_Unlock,Unlock,Déverrouil,Öffnen,Desbloq.,Sblocca,Unlock,解锁,ロック解除,未鎖定,Разблокировка
STRID_UnlockOne,Unlock Current,Ouverz le courant,Eins Öffnen,Abra el actual,Sblocchi la corrente,Unlock Current,解锁当前,現用の鍵を開けなさい,解除保護目前檔案,Разблокировать фотографию 
STRID_UnlockAll,Unlock All,Déverrouiller Tout,Alle Öffnen,Desblog. Todo,Sblocca tutto,Unlock All,全部解锁,全コマロック解除,解除保護所有檔案,Разблок. все изображ
STRID_UnlockSelected,Unlock Selected,Ouvrez Choisi,Wählte Öffnen,Abra Seleccionado,Sblocca selez.,Unlock Selected,解锁选择,選ばれるロック解除,解除保護,Разблокировать выбранный
STRID_DPOF,DPOF,DPOF,DPOF,DPOF,DPOF,DPOF,DPOF,DPOF,DPOF,DPOF
STRID_OneImage,One  Image,Une Image,Ein Bild,Una Imagen,Una Immag.,One  Image,单张照片,一枚画像,一張相片,Одно изображение
STRID_ALL_IMAGES,All Images,Toutes Images,Alle Bilder,Todas las imágenes,Tutte le imm.,Todas imagens,全部,全ての画像,所有相片,Все изображения
STRID_THIS_IMAGE,This Image,Cette Image,Dieses Bild,Esta Imagen,Questa immagine,Esta imagem,单张,この画像,此影像,Данное изображение
STRID_THIS_VIDEO,This Video,Cette Image,Dieses Video,Esta Imagen,Immagine Corr.,Esta Imagem,此档案,このビデオ,此影片,Данное видео
STRID_SELECT_IMAGES,Select Images,Select. Images,Bilder auswählen,Seleccionar Imagen,Seleziona immagini,Selec imagens,选择图片,画像を選択,選擇圖片,Выбрать изображение
STRID_ALL_INDEX,All Index,Tout Index,Alle Index,Todo el índice,Tutta la selezione,Todo índice,索引,全インデックス,索引,Все индексы
STRID_ALL,All,Toutes,Alle,Todas,Tutte,Todas,全部,全ての,全部,Все
STRID_ResetAll,Reset All,Annuler Tout,Zurücksetzen,Formate. Todo,Ripristina Tutte,Reset All,全部复位,すべてのリセット,重新設定,Переустановить все
STRID_Copies,Quantity,Quantité,Anzahl,Cantidad,Quantità,Quantity,数量,数量,數量,Количество
STRID_Return,Return,Retour,Zurück,Volver,Ritorna,Return,返回,後ろの,返回,Вернуться
STRID_Resize,Resize,Rogner,Größe ändern,Cambio Dimens.,Ridimensiona,Resize,调整尺寸,サイズを変更する,調整尺寸 ,Изменение размера
STRID_QualityChange,Quality Change,Redimensionner,Qualität änd.,Cambio Calidad,Cambia Qualità,Quality Change,更改画质,画質の変更,更改畫質,Изменение качества
STRID_COPY_TO_CARD,Copy To Card,Copie Sur Carte,Auf Karte kopieren,Copia a tarjeta,Copia sulla scheda,Ópia p/ cartão,复制到卡,カードにコピーする,複製到記憶卡,Копировать на карту
STRID_COPY_FROM_CARD,Copy From Card,Copie De Carte,Von Karte kopieren,Copia de tarjeta,Copia dalla scheda,Cópia do cartão,从卡复制,カードからコピーする,從記憶卡複製,Копировать с карты
STRID_Copy,Copy,Copy,Copy,Copy,Copy,Copy,拷贝,コピー,複製,Копировать
STRID_ToSD,To SD,ÁL'Écart-type,Zu Sd,Al Sd,Ad Sd,To SD,Sd 卡,SDに,記憶卡,На SD карту памяти
STRID_ToInternal,To Internal,Á Interne,Zu Internem,A Interno,Ad Interno,To Internal,內存,內部に,內建記憶體,На внутреннюю память
STRID_Delete,Delete,Effacer,Löschen,Borrar,Elimina,Delete,刪除,消去,删除,Удалить
STRID_DeleteCurrent,Delete Current,Supprime le courant,Löschungen z.Z.,Suprime el actual,Cancella la corrente,Delete Current,刪除当前,現用ファイルを削除する,目前檔案,Удалить зту фотографию
STRID_DeleteAll,Delete All,Effacer tont,Alle löschen,Borrar todo,Elimina tutto,Delete All,全部刪除,全コマ消去,全部檔案,Удалить все
STRID_DeleteSelected,Delete Selected,Effacement choisi,Löschen auserwählt,Borrar selecta,Elimina prescelta,Delete Selected,刪除选择,選り拔き削除,删除選擇,Удалить  выбранное
STRID_DataProcessed,Data Processed,Les données traitées,Verarbeitete Daten,Los datos ya procesados,Dati trattati,Dados Transformados,资料处理,データ加工,資料處理,Обработка данных
STRID_Select,Select,Sélect.,Wählen,Selecc.,Selez.,Select,选择,選り拔き,選擇,Выберите
STRID_PAGE,Page,Page,Seite,Página,Pagina,Pág,页数,ページ,頁數,Страница
STRID_PrintModeSel,Printing Mode Select ,Sélection mode impression,Druckmodus,Selecc. modo impr.,Sel. modo stampa,Printing Mode Select ,打印模式选择,印刷モードを選択する,列印模式選擇,Выбрать режим печати
STRID_SIZE,Size,Taille,Grösse,Tamaño,Dimensioni,Tamanho,尺寸大小,サイズ,尺寸,Размер  
STRID_Standard,Standard,Standard,Standard,Estándar,Standard,Standard,标准,標準,標準,Стандарт
STRID_CONTINUE,Continue,Suite,Weiter,Continuar,Continuare,Continuar,继续,続りなさい,繼續,Продолжить
STRID_Without,Without,Sans,Ohne ,Sin,Senza,Without,不包括,を除く,不包含,Без 
STRID_With,With,Avec,Mit,Con,Con,With,包括,を含む,包含,С
STRID_NAME,File Name,Nom Fichier,Dateiname,Nombre de archivo,Nome File,Nome de ficheiro,文件名称,ファイル名,檔名,Наименование файла
STRID_NO_IMAGE,No Image,Aucune Image ,Kein Bild,Ninguna Imagen,Nessun'Immagine,Nenhuma Imagem,没有照片,イメージ無し,無相片,Нет изображения
STRID_Set,Set,Définir,Einst.,Definir,Impo.,Set,设置,セットする,設定,Настройки
STRID_MEMORY_FULL,Internal Memory Full,Mémoire Interne Complètement,Inner Speicher Voll,Memoria Interna Completo,Memoria Interna completo,Memória Interna Completamente,内存已满,内部のメモリが一杯い,記憶體已滿,Внутренняя память полная
STRID_CARD_FULL,Card Full,Carte Complètement,Karte Voll,Tarjeta Completo,Carta completo,Cartão Completamente,卡已满,カードが一杯い,記憶卡已滿,Карта памяти заполнена
STRID_FolderFull,Folder full,Dossier plein,Ordner voll,Carpeta llena,Cartella piena,Folder full,文件夹满,フォルダマン,檔案夾已滿,Папка заполнена
STRID_CardError,Card error,Erreur carte,Kartenfehler,Error de tarjeta,Errore scheda,Card error,存储卡错误,カードエラー,記憶卡錯誤,Ошибка карты
STRID_MemoryError,Memory error,Erreur memoire,Speicherfehler,Error de memoria,Errore memoria,Memory error,内存错误,メモリエラー,記憶體錯誤,Ошибка памяти
STRID_LensError,Lens error,Erreur objectif,Objektivfehler,Error en el objetivo,Errore dell'obiettivo,Lens error,镜头错误,レンズエラー,鏡頭錯誤,Ошибка объектива
STRID_CARD_LOCKED,Card Protected,Carte Protégée,Karte Hat Geschützt,Tarjeta Protegió,Carta Protetto,Cartão Protegeu,卡已写保护,カードは保護された,卡片鎖定,Карта памяти защищена
STRID_FILE_PROTECT,Protected!,Protégé !,Geschützt!,Protegido!,Protetto!,Protegido!,已保护!,保護された,檔案保護,Защищено!
STRID_PictureError,Picture error,Erreur d'image,Bildfehler,Error de imagen,Errore foto,Picture error,影像错误,ファイルエラー,影像錯誤,Ошибка изображения
STRID_BATTERY_LOW,Low Battery,Pile basse,Niedrige Batterie,Batería Baja,Batteria bassa,Bateria baixa,电量不足,電源不足   ,電量不足 ,Батарея разряжена
STRID_OneMoment,One moment,Un moment,Bitte warten,Un momento,Un momento,One moment,请稍等,お待ちください,請稍等,Подождите …
STRID_NoConnection,No connection,Non connecté,Keine verbindung,Sin conexión,Non connesso,No connection,未连接,無接続,未連接,Нет соединения
STRID_Transferring,Transferring,Transfert,Übertragung,Transfiriendo,Trasferim.,Transferring,正在传输,送信される,正在傳送,Идет передача …
STRID_ConnectedToPC,Connected to PC,Connecté au PC,Anschluss am PC,Conexión al PC,Connessione al PC,Connected to PC,连接到计算机,コンピュータに接続,與PC連接中,Соединение с ПК
STRID_RemoveUSBCable,Remove USB cable,Retirer câble USB,USB-Kab. entf.,Quitar cable USB,Rimuovere cavo USB,Remove USB cable,断开USB,切断は、USB,移除USB線,Извлечь USB кабель
STRID_Total,Total,Total,Gesamt,Total,Totale,Total,总计,合計,總計,Всего
STRID_DATE_STAMPING,Date Stamping,Marque Date,Datumsanzeige,Impresión fecha,Stampa Data,Impressão data,日期标签,日付表示,日期記錄,Штамп даты
STRID_FILE_NAME,File Name,Nom Fichier,Dateiname,Nombre de archivo,Nome File,Nome de ficheiro,文件名称,ファイル名,檔名,Имя файла
STRID_NO_OF_COPY,No.Of Copy,No. De Copies,Anzahl der Kopien,No. de copia,N. di copie,Nº. de cópia,打印数量,枚数,列印數量,Количество копий
STRID_DEFAULT,Default,Défaut,Rückstellung,Predeterminado,Predefinite,Default,默认设置,初期設定,預設值,По умолчанию
STRID_Menu,Menu,Menu,Menü,Menú,Menu,Menu,菜单,メニュー,選單,Меню
STRID_EXIT,Exit,Quitter,Zurück,Salir,Esci,Sair,退出,終了,結束,Выход
STRID_PLEASE_WAIT,Please wait,Patientez,Bitte Warten,Por favor espere,Attendere,Aguarde,请稍候,お待ちください,請稍待,"Пожалуйста, подождите"
STRID_StartShutter,Start: Shutter,Début: Shutter,Anfang: Shutter,Comienzo: Shutter,Inizio: Shutter,Start: Shutter,开始: 快门,開始: シャッター,開始: 快門,Начать: затвор 
STRID_StopShutter,Stop: Shutter,Arrét: Shutter,Anschlag: Shutter,Parada: Shutter,Arresto: Shutter,Stop: Shutter,停止: 快门,停止: シャッター,停止: 快門,Остановить : затвор
STRID_NO_FILE,No File,Pas de fichier,Keine Datei,Sin archivo,Assenza file,No File,没有文件,ファイルがありません,沒有檔案,Нет файла
STRID_NO_CARD,No Card,Aucune Carte,Keine Karte,Ninguna Tarjeta,Nessuna Carta,Nenhum Cartão,未插入卡,カード無し,沒有記憶卡,Нет карты
STRID_NO_PHOTO,No Photo,Aucune image,Kein Bild im Speicher,Sin imagen,Nessuna immagine ,No Photo,无相片,画像がありません,無相片,Нет фото
STRID_NOT_JPEG,Not JPEG File,Aucun fichier JPEG,Keine JPEG-Datei,No hay archivo JPEG,Non è un file JPEG,Not JPEG File,不是JPEG文件,JPEGファイルがない,不是JPEG檔,Файл не JPEG формата
STRID_FlashNotReady,Flash not ready,Flash not ready,Flash not ready,Flash not ready,Flash not ready,Flash not ready,闪光灯充电中,内のFlash担当,閃光燈充電中,Вспышка не готова 
STRID_UpdateBG,Update Graph,Update Graph,Update Graph,Update Graph,Update Graph,Update Graph,Update Graph,Update Graph,Update Graph,Обновление граф.
STRID_CheckVersion,Check Version,Check Version,Check Version,Check Version,Check Version,Check Version,Check Version,Check Version,Check Version,Проверить версию
STRID_PStoreErr,PStore Error,PStore Error,PStore Error,PStore Error,PStore Error,PStore Error,PStore Error,PStore Error,PStore Error,Ошибка Pcstore
STRID_Play,Play,Jeu.,Spiel,Juego,Gioco,Play,播放,再生,播放,Воспроизвести
STRID_PAUSE,Pause,Palse,Pause,Palse,Pausa,Pause,暫停,休止,暫停,Пауза
STRID_Stop,Stop,Arrêt,Stopp,Stop,Stop,Stop,停止,停止,停止,Стоп
STRID_Move,Move,Move,Move,Mover,Sposta,Move,移动,移動,移動,Двигать
STRID_Save,Save,Éccnow,Auber,Except,Rispar,Save,保存,保存,保存,Сохранить
STRID_Next,Next,Aprés,Zunächst,Después,Dopo,Next,下一項,次に,下一項,Следующий
STRID_Change,Change,Changement,Änderung,Cambio,Cambiamento,Change,更改,变更,更改,Изменить
STRID_VOLUME,Volume,Volume,Lautstärke,Volumen,Volume,Volume,音量调节,音量,音量,Громкость
STRID_STILL,Still,fixe,Standbild,inmóvil,Immagine fissa,fixa,拍照,静止画像,拍照,Фотографировать
STRID_BATTERY_TYPE,Battery Type,Battery Type,Battery Type,Battery Type,Battery Type,Battery Type,Battery Type,Battery Type,Battery Type,Тип батареи
STRID_ALKALINE,Alkaline,Alkaline,Alkaline,Alkaline,Alkaline,Alkaline,Alkaline,Alkaline,Alkaline,Alkaline
STRID_NIMH,NiMH,NiMH,NiMH,NiMH,NiMH,NiMH,NiMH,NiMH,NiMH,NiMH
STRID_DELETE_WARNING,All data will be deleted,Format memoire\nefface toutes\ndonnees,Speicher formatieren\nAlle Daten löschen,Formatear memoria\nSe borrarán todos los datos,Formattazione mem.\ntutti i dati verranno cancellati,Format memória\ndados perdidos!,格式化记忆体\n将刪除所有数据,メモリをフォーマ\nットする全てのデ\nータが消去されます,格式化記憶體\n將删除所有資料,Все данные будут удалены
STRID_SEQUENCE_NO,Sequence No.,Sequence No,Fortlaufende Numerierung,Num. Secuencia,Sequenza n.,Sequência nº,档案编号,連続NO,檔案編號,Номер серии
STRID_RESET_WARNING,Return menu setting\nto defaults,Retour reglages\npar defaut,Auf Standardeinstellungen\nzurücksetzen,Reconfigurar el menú\npor defecto,Torna alle impostazioni\ndi menu predefinite,Menu por defin,恢复默认设置,メニュー設定を\nデフォルトに戻す,恢复默认设置,Сброс на заводские установки 
STRID_ERASE_THIS,Erase This?,Effacer Ceci,Dieses löschen?,Borrar Ésta,Cancella questa,Apagar esta,刪除单张,この画像を消去する,删除單張,Удалить выбранный ?
STRID_ERASE_ALL,Erase All Images?,Efface nefface Images?,Dieses Alle Bilder?,Borrar ndados imágenes?,Cancella Tutte immagini?,Apagar ndados imagens?,刪除所有?,この画像を消去全てする?,删除全部?,Удалить все изображения ?
STRID_IMAGES,Images,Images,Bilder,imágenes,immagini,imagens,张,画像,張,Изображение
STRID_CONNECT_TO_DEVICE,Please connect to device,Connecter appareil,Bitte an Gerät\nanschliessen,"Por favor, conectar\nal dispositivo",Colleg. alla per.,Ligue aparelho,请连接设备,デバイスに接続し\nてください,請連接裝置,Подключите устройство
STRID_DEVICE_IS_CONNECTED,Device is connected,Appareil connecte,Gerät ist\nangeschlossen,Dispositivo\nconectado,Periferica coll.,Aparelho ligado,设备已连接,デバイスに\n接続されました,裝置已連接,Подключено
STRID_LINK_ERROR,Link Error,Erreur de lien,Link-Fehler,Error de vínculo,Errore link,Erro na ligação,连机错误,リンクエラー,連接錯誤,Ошибка соединения
STRID_USB_ERROR,USB Error,Erreur USB,USB-Fehler,Error USB.,Errore USB,Erro USB,USB 错误,USBエラー,USB 錯誤,Ошибка USB 
STRID_DUMMY,X\\,a\\,a\\,a\\,a\\,X\\,a\\,a\\,a\\,a\\
STRID_EV_M0P3,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333
STRID_EV_M0P6,-0.666666667,-0.666666667,-0.666666667,-0.666666667,-0.666666667,-0.666666667,-0.666666667,-0.666666667,-0.666666667,-0.666666667
STRID_EV_M1P0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
STRID_EV_M1P3,-1.333333333,-1.333333333,-1.333333333,-1.333333333,-1.333333333,-1.333333333,-1.333333333,-1.333333333,-1.333333333,-1.333333333
STRID_EV_M1P6,-1.666666667,-1.666666667,-1.666666667,-1.666666667,-1.666666667,-1.666666667,-1.666666667,-1.666666667,-1.666666667,-1.666666667
STRID_EV_M2P0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
STRID_EV_P0P0,0,0,0,0,0,0,0,0,0,0
STRID_EV_P0P3,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
STRID_EV_P0P6,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
STRID_EV_P1P0,1,1,1,1,1,1,1,1,1,1
STRID_EV_P1P3,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333
STRID_EV_P1P6,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667
STRID_EV_P2P0,2,2,2,2,2,2,2,2,2,2
STRID_PRINT_ALL,Print All,TOUTES LES PHOTOS,ALLE BILDER,TODAS LAS FOTOS,TUTTE LE FOTO,WSZYSTKIE ZDJĘCIA,打印全部照片,全ての画像,列印所有照片,Печатать все
STRID_PRINT_INDEX,Print Index,Tout Index,Alle Index,Todo el índice,Tutta la selezione,Todo índice,索引,全インデックス,索引,Печатать индексы
STRID_PRINT_DPOF,Print DPOF,Imprimer avec DPOF,DPOF-Druck,Impr. con DPOF,Stampa con DPOF,Print With DPOF,采用DPOF打印,使用 DPOF 列印,DPOF 列印,DPOF  печать
STRID_PRINT_SETTING,Print Setting,Réglage de Imprimez,Drucken Einstellungen,Ajustes el impresión,Impostazioni del impronta,Definições do imprimir,打印设定,印刷の設定,列印設定,Настройка печати
STRID_DPOF_RESTART,DPOF Restart,DPOF Restart,DPOF Redémarrez,Reinicie DPOF,DPOF Riavviare,DPOF Restart,DPOF重新开始,DPOF設定を再起動します,DPOF重新開始,перезапуск DPOF 
STRID_PRINT,Print,Imprimer,Drucken,Imprimir,Stampa,Print,打印,プリント,列印,Печать
STRID_START_PRINTING,Start Printing,Commencez Á Imprimer,Druck,Comience A Imprimir,Inizi A Stampare,Iniciar Impressão,开始打印,スタートプリント,開始列印,Начало печати
STRID_PRINTING,Printing..,Impression..,Drucken..,Imprimiendo..,Stampa..,Imprensa..,打印中..,印刷中..,正在列印..,Идет печать…
STRID_PRINT_CANCELED,Print Canceled,Print Canceled,Ausdruck Abgebrochen,Impresión cancelada,Print canceled,Imprimir Cancelado,打印停止,印刷がキャ ンセルされました,打印停止,Печать отменена
STRID_PRINT_FINISHED,Print Finished,Imprime Termine,Drucken Abgeschlossen,Impresión Terminada,Stampa terminata,Impressão Terminada,打印完成,終了,列印結束,Печать закончена
STRID_OK_TO_PRINT,Press OK to Print,Appuyer OK pour imprimer,Drucken OK Drücken,Pulse OK para imprimir,Premi OK per stamp.,OK p/ imprimir,按确认键开始打印,OKを押してプリントする,按確認鍵開始列印,Для печати нажмите ОК
STRID_PAPER_SIZE,Paper Size,Format Papier,Papier Format,Tamaño Del Papel,Formato Carta,Tamanho do papel,纸张大小,用紙寸法機構,紙張大小,Размер бумаги
STRID_L,L,L,L,L,L,L,L,L,L,L
STRID_2L,2L,2L,2L,2L,2L,2L,2L,2L,2L,2L
STRID_POSTCARD,Postcard ,Carte postale,Postkarte ,Postal,Cartolina ,Postal,明信片,明信片,明信片,Открытка
STRID_CARD,Card,Carte,Karte,Tarjeta,Scheda,Cartão,存储卡,存储卡,卡片,Карта памяти 
STRID_100x150,100x150,100x150,100x150,100x150,100x150,100x150,100x150,100x150,100x150,100x150
STRID_4x6,"4""x6""","4""x6""","4""x6""","4""x6""","4""x6""","4""x6""","4""x6""","4""x6""","4""x6""","4""x6"""
STRID_8x10,"8""x10""","8""x10""","8""x10""","8""x10""","8""x10""","8""x10""","8""x10""","8""x10""","8""x10""","8""x10"""
STRID_LETTER,Letter,Lettre ,Letter ,Carta,Lettera ,Carta,信封,Letter ,信封,Письмо
STRID_11x17,"11""x17""","11""x17""","11""x17""","11""x17""","11""x17""","11""x17""","11""x17""","11""x17""","11""x17""","11""x17"""
STRID_A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
STRID_A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
STRID_A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
STRID_A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3
STRID_A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4
STRID_A5,A5,A5,A5,A5,A5,A5,A5,A5,A5,A5
STRID_A6,A6,A6,A6,A6,A6,A6,A6,A6,A6,A6
STRID_A7,A7,A7,A7,A7,A7,A7,A7,A7,A7,A7
STRID_A8,A8,A8,A8,A8,A8,A8,A8,A8,A8,A8
STRID_A9,A9,A9,A9,A9,A9,A9,A9,A9,A9,A9
STRID_B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
STRID_B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1
STRID_B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2
STRID_B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3
STRID_B4,B4,B4,B4,B4,B4,B4,B4,B4,B4,B4
STRID_B5,B5,B5,B5,B5,B5,B5,B5,B5,B5,B5
STRID_B6,B6,B6,B6,B6,B6,B6,B6,B6,B6,B6
STRID_B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7
STRID_B8,B8,B8,B8,B8,B8,B8,B8,B8,B8,B8
STRID_B9,B9,B9,B9,B9,B9,B9,B9,B9,B9,B9
STRID_L_ROLLS,L Rolls,Rouleau L,L rolls,Rollo L,Rullo L,L Rolls,L尺寸卷筒紙,L 尺寸捲筒紙,L 尺寸捲筒紙,Крен L
STRID_2L_ROLLS,2L Rolls,Rouleau 2L,2L rolls,Rollo 2L,Rullo 2L,2L Rolls,2L卷筒紙,2L 捲筒紙,2L 捲筒紙,Крен 2L
STRID_4_ROLLS,"4"" Rolls",Roul.10x15,"4"" rolls",Rollo 4L,"Rullo 4""","4"" Rolls",4英寸卷筒紙,4 英吋捲筒紙,4 英吋捲筒紙,Крен 4
STRID_A4_ROLLS,A4 Rolls,Rouleau A4,A4 rolls,Rollo A4,Rullo A4,A4 Rolls,A4卷筒紙,A4 捲筒紙,A4 捲筒紙,Крен A4
STRID_PAPER_TYPE,Paper Type,Type De Papier,Papier Sorte,Tipo De Papel,Tipo Di Carta,Paper Type,纸张类型,ペーパータイプ,紙張類型,Тип бумаги
STRID_PHOTO_PAPER,Photo,Photo,Photo,Photo,Photo,Photo,照片纸,写真,相片紙,Фотобумага
STRID_PLAIN_PAPER,Plain,Plain,Plain,Plain,Plain,Plain,普通纸,Plain,普通紙,Обычная бумага
STRID_FAST_PHOTO,Fast Photo,Fast Photo,Fast Photo,Fast Photo,Fast Photo,Fast Photo,快速相片纸,Fast Photo,快速相片紙,Быстрое фото
STRID_FILE_TYPE,File Type,Type De Dossier,Akte Art,Tipo De Archivo,Tipo Dalla Lima,File Type,文件类型,ファイルタイプ,文件類型,Тип файла
STRID_EXIF_JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG,Exif/JPEG
STRID_EXIF,Exif,Exif,Exif,Exif,Exif,Exif,Exif,Exif,Exif,Exif
STRID_JPEG,JPEG,JPEG,JPEG,JPEG,JPEG,JPEG,JPEG,JPEG,JPEG,JPEG
STRID_DATE_PRINT,Date Print,Impression De La Date,Druck Des Datums,Impresión De La Fecha,Stampa Della Data,Data de impressão,打印日期,日付の印刷,列印日期,Печатать дату
STRID_FILENAME_PRINT,Filename Print,Impression De La Nom,Druck Des Dateinamens,Impresión De La Nombre,Stampa Della Nome,Filename Print,打印文件名,ファイル名の印刷,列印檔名,Печатать наименование файла
STRID_IMAGE_OPTIMIZE,Image Optimize,L'Image Optimisent,Bild Optimieren,La Imagen Optimiza,L'Immagine Ottimizza,Image Optimize,图像最佳化,画像の最適化,圖像最佳化,Оптимизировать изображение
STRID_LAYOUT,N-UP Layout,N-UP Layout,N-UP Layout,N-diseño superior,N-up layout,Disposição n-up,打印版面,N-UPレイアウト,佈局,Разметка страниц
STRID_1UP,1-UP,1-UP,1-UP,1-UP,1-UP,1-UP,1-UP,1-UP,1-UP,STRID_1UP
STRID_2UP,2-UP,2-UP,2-UP,2-UP,2-UP,2-UP,2-UP,2-UP,2-UP,STRID_2UP
STRID_3UP,3-UP,3-UP,3-UP,3-UP,3-UP,3-UP,3-UP,3-UP,3-UP,STRID_3UP
STRID_4UP,4-UP,4-UP,4-UP,4-UP,4-UP,4-UP,4-UP,4-UP,4-UP,STRID_4UP
STRID_5UP,5-UP,5-UP,5-UP,5-UP,5-UP,5-UP,5-UP,5-UP,5-UP,STRID_5UP
STRID_6UP,6-UP,6-UP,6-UP,6-UP,6-UP,6-UP,6-UP,6-UP,6-UP,STRID_6UP
STRID_7UP,7-UP,7-UP,7-UP,7-UP,7-UP,7-UP,7-UP,7-UP,7-UP,STRID_7UP
STRID_8UP,8-UP,8-UP,8-UP,8-UP,8-UP,8-UP,8-UP,8-UP,8-UP,STRID_8UP
STRID_9UP,9-UP,9-UP,9-UP,9-UP,9-UP,9-UP,9-UP,9-UP,9-UP,STRID_9UP
STRID_10UP,10-UP,10-UP,10-UP,10-UP,10-UP,10-UP,10-UP,10-UP,10-UP,STRID_10UP
STRID_250UP,250-UP,250-UP,250-UP,250-UP,250-UP,250-UP,250-UP,250-UP,250-UP,STRID_250UP
STRID_INDEX,Index,Index,Index,índice,selezione,índice,索引,インデックス,索引,Индек
STRID_1UP_BORDERLESS,Borderless,Borderless,Borderless,Randlos,Borderless,obramowania,满版列印,フチなし,滿版列印,Без полей
STRID_FIXED_SIZE,Fixed Size,Taille Fixe,Fixed Size,Tamaño Fijo,Formato Fisso,Fixed Size,固定大小,固定サイズ,固定大小,Установленный размер
STRID_25x325,"2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25""","2.5""x3.25"""
STRID_35x5,"3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5""","3.5""x5"""
STRID_254x178,254x178,254x178,254x178,254x178,254x178,254x178,254x178,254x178,254x178,254x178
STRID_110x74,110x74,110x74,110x74,110x74,110x74,110x74,110x74,110x74,110x74,110x74
STRID_89x55,89x55,89x55,89x55,89x55,89x55,89x55,89x55,89x55,89x55,89x55
STRID_6x8,6x8,6x8,6x8,6x8,6x8,6x8,6x8,6x8,6x8,6x8
STRID_7x10,7x10,7x10,7x10,7x10,7x10,7x10,7x10,7x10,7x10,7x10
STRID_9x13,9x13,9x13,9x13,9x13,9x13,9x13,9x13,9x13,9x13,9x13
STRID_13x18,13x18,13x18,13x18,13x18,13x18,13x18,13x18,13x18,13x18,13x18
STRID_15x21,15x21,15x21,15x21,15x21,15x21,15x21,15x21,15x21,15x21,15x21
STRID_18x24,18x24,18x24,18x24,18x24,18x24,18x24,18x24,18x24,18x24,18x24
STRID_CROPPING,Cropping,Emblavage,Saatbestellung,Cultivo,Coltivazione,Recorte,剪切,作付,剪切,Вырезать
STRID_PRINT_ERROR,Print Error,Erreur impression,Druck fehler,Error de impresión,Stampa errore,Print Error,打印错误,印刷エラー,列印錯誤,Ошибка печати
